UBC Properties Trust,,,,,
,,,,,
,,Project: UBC Properties Trust,,Date: Late Sept/early Oct 2026,
Shoot Location: UBC,,Shoot Window:  Sept 29 - Oct 5th,,No. of Days: 4 Shoot Days + 1 location scout,
Currency: CAD,,Prepared by: Jordan Ettinger,,Version: 1,
,,,,,
SUPPLIER / CATEGORY,DESCRIPTION,DAYS/Hours,RATE ($),TOTAL ($),Notes 
1. CREATIVE FEE | DIRECTOR,,,,,
Director,Director Day Rate,4.00,"$2,000","$8,000.00",Directing on 4 day shoot
Director,Pre production/prep,         8hrs,$100.00,$800.00,"Creative development, shot listing, video storyboards. "
Director,Scout day,1.00,$600.00,$600.00,Location Scout Day
CREATIVE FEE SUBTOTAL,,,,"$9,400.00",
1. CREATIVE FEE | PHOTOGRAPHER,,,,,
Photographer ,Day Rate,4.00,"$2,250","$9,000.00",4 shoot days - includes gear and kit needed
Usage / Licensing,Included in fee above ,,,,"Online - Brand website (homepage, PLPs, PDPs), organic social, paid social and email marketing.
Retail & Trade - E-com partner sites, Print and Digital POS assets. (5 years usage)"
CREATIVE FEE SUBTOTAL,,,,"$9,000.00",
,,,,,
2. CREATIVE FEE | CINEMATOGRAPHER,,,,,
Cinematographer,Day Rate Plus 1 Pickup,4.00,"$2,250.00","$9,000.00",Includes full camera and lens kit
Usage / Licensing,Included in fee above ,,,,"Online - Brand website (homepage, PLPs, PDPs), organic social, paid social and email marketing.
Retail & Trade - E-com partner sites, Print and Digital POS assets. (5 years usage)"
CREATIVE FEE SUBTOTAL,,,,"$9,000.00",
3. PRODUCTION CREW,,,,,
Producer,Pre-production prep,50hrs,$100,"$5,000.00","Casting, scheduling, catering, props, general logistics and communication. "
Producer,Line Producer ,4.00,"$1,000.00","$4,000.00",Line producer on set for shoot days
Producer,Scout day,1.00,$600.00,$600.00,Location Scout Day
Stylist ,"(Steaming Organising, Styling, and Outfitting) 4 x Shoot Days",4.00,$600.00,"$2,400.00",
Production Assist,4 x Shoot Days,4.00,$600.00,"$2,400.00",General production assist on shoot days
Camera/ Production Assist,4 x Shoot Days,4.00,$600.00,"$2,400.00",Camera Assist for Photo + Video
PRODUCTION CREW SUBTOTAL,,,,"$16,800.00",
,,,,,
4. EQUIPMENT & KIT,,,,,
Gear Rental,Any specific gear requested by client beyond our in house kit. ,-,-,-,-
EQUIPMENT TOTAL,,,,TBD,
5. LOCATION,,,,,
Location Fee,,,,,Client to provide locations and permits
Location Permits,,,,,
LOCATION SUBTOTAL,,,,$0.00,
,,,,,
6. TRAVEL & Accom,,,,,
Accom,Crew Accomodation, 6 nights,$350.00,"$2,100.00",Accom fees for Director and Cinematographer 
Travel,Travel for Crew to and from Vancouver,2.00,"$1,000.00","$2,000.00",Travel fees for Director and Cinematographer 
TRAVEL & ACCOM SUBTOTAL,,,,"$4,100.00",
,,,,,
7. Catering/Per Diems,,,,,
Catering,On set catering for crew and talent,4.00,$600.00,"$2,400.00",
,,,,,
Catering Total,,,,"$2,400.00",
,,,,,
8. TALENT,,,,,
Key Talent 1,Estimated Talent fee/per day,10.00,$600.00,"$6,000.00","Estimated rate, will vary depending on usage rights and experience of talent and how many talent. "
TALENT SUBTOTAL,,,,"$6,000.00",
,,,,,
9. POST PRODUCTION ,,,,,
,,Hours,Hourly Rate,Total,
Video Editor,,60.00,$75.00,"$4,500.00",Includes music licensing. Additional licensing fees will apply if client requests music we do not have access too. 
Photography Editor,,20hrs,$75.00,"$1,500.00",
POST PRODUCTION SUBTOTAL,,,,"$6,000.00",
,,,,,
10. MISCELLANEOUS,,,,,
Incidental,Incidental Expenses,1.00,$750.00,$750.00,
Shoot Insurance,Public & Statutory Liability,,,$800.00,Rough estimate from Front Row depending on liability needs
MISCELLANEOUS SUBTOTAL,,,,"$1,550.00",
,,,,,
Production Total (CAD),,,,"$58,250.00",
(10% collective fee),,,,"$5,825.00",
,,,Grand Total (CAD),"$64,075.00",